name,bnf,expiry
Amphotericin B,5.2,08/02/2010
Anastrozole,8.3.4.1,10/08/2010
Desloratadine,3.4.1,11/02/2010
Docetaxel,8.1.5,26/11/2010
Eptacog alfa,2.11,27/12/2010
Fludarabine phosphate,8.1.3,08/03/2010
Lercanidipine,2.6.2,20/01/2010
Levetiracetam,4.8.1,13/05/2010
Losartan potassium,2.5.5.2,01/03/2010
Mizolastine,3.4.1,20/11/2010
Nebivolol,2.4,17/10/2010
Pramipexole hydrochloride,4.9.1,15/12/2010
Raltitrexed,8.1.3,10/08/2010
Ranitidine bismuth citrate,1.3.1,13/07/2010
Ribavirin,5.3.5,16/04/2010
Riluzole,4.9.3,09/07/2010
Risedronate sodium,6.6.2,15/12/2010
Ropivacaine hydrochloride,15.2,14/09/2010
Atorvastatin calcium lactate,2.12,06/11/2011
Beractant,3.5.2,16/05/2011
Cisatracurium besylate,15.1.5,11/07/2011
Etoposide,8.1.4,11/04/2011
Exemestane,8.3.4.1,07/07/2011
Ibandronic acid,6.6.2,24/06/2011
Insulin aspart (NovoRapidÂ®),6.1.1,28/08/2011
Lamivudine,5.3.1,27/02/2011
Latanoprost,11.6,17/07/2011
Letrozole,8.3.4.1,23/07/2011
Levofloxacin,5.1.12,19/06/2011
Olanzapine,4.2.1,26/09/2011
Pioglitazone HCl,6.1.2.3,14/01/2011
Remifentanil HCl,15.1.4.3,16/05/2011
Ropinirole HCl,4.9.1,01/07/2011
Saquinavir mesylate,5.3.1,17/01/2011
Sertindole,4.2.1,17/03/2011
Stavudine,5.3.1,07/05/2011
Tazarotene,13.5.2,02/12/2011
Tiagabine HCl,4.8.1,13/06/2011
Topotecan,8.1.5,15/10/2011
Valsartan,2.5.5.2,12/05/2011
Zafirlukast,3.3.2,02/01/2011
Zaleplon,4.1.1,20/04/2011
Atorvastatin,2.12,06/05/2012
Bemiparin,2.8.1,21/07/2012
Candesartan,2.5.5.2,28/04/2012
Donepezil HCl,4.11,13/02/2012
Doripenem,5.1.2.2,17/08/2012
Entacapone,4.9.1,26/11/2012
Eprosartan mesylate,2.5.5.2,14/04/2012
Eptifibatide,2.9,26/02/2012
Galantamine,4.11,15/01/2012
Indinavir,5.3.1,02/11/2012
Irbesartan,2.5.5.2,14/08/2012
Lepirudin,2.8.1,12/03/2012
Mometasone furoate,3.2,18/02/2012
Montelukast sodium,3.3.2,24/08/2012
Naratriptan,4.7.4,09/03/2012
Nevirapine,5.3.1,22/12/2012
Quetiapine fumarate,4.2.1,23/03/2012
Quinupristin + Dalfopristin,5.1.7,20/05/2012
Rabeprazole,1.3.5,12/11/2012
Ramipril + Felodipine,2.5.5.1,18/09/2012
Rivastigmine hydrogen tart,4.11,30/07/2012
Tolcapone,4.9.1,24/02/2012
Tolterodine tartrate,7.4.2,04/09/2012
Zoledronic acid,6.6.2,24/07/2012
Zolmitriptan,4.7.4,06/03/2012
